algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,11,81505729,189837356,178,109,182,0,109,0.28973699999999997,1633520,109,0,0,0
astar_chpot,12,81505729,189837356,232,142,235,0,142,0.395822,1842307,142,0,0,0
astar_chpot,13,81505729,189837356,296,176,299,0,176,0.7067319999999999,2329297,176,0,0,0
astar_chpot,14,81505729,189837356,289,175,293,0,175,0.437231,2885822,175,0,0,0
astar_chpot,15,81505729,189837356,432,293,438,0,293,0.524235,3610440,293,0,0,0
astar_chpot,16,81505729,189837356,527,293,531,0,293,0.584633,4421722,293,0,0,0
astar_chpot,17,81505729,189837356,419,326,420,0,326,0.483914,5792350,326,0,0,0
astar_chpot,18,81505729,189837356,742,536,750,0,536,0.83159,7146777,536,0,0,0
astar_chpot,19,81505729,189837356,1145,733,1155,0,733,1.4363240000000002,9387137,733,0,0,0
astar_chpot,20,81505729,189837356,1075,749,1084,0,749,1.277086,13198612,749,0,0,0
astar_chpot,21,81505729,189837356,790375,783746,863517,9,783533,619.243974,34822198,2212,2,1,0
astar_chpot,22,81505729,189837356,289880,277065,311558,9,276873,351.213659,32778154,1975,2,1,0
astar_chpot,23,81505729,189837356,28787,27828,33256,9,20336,17.821805,79729355,2431,4,2,1
astar_chpot,24,81505729,189837356,956746,1170214,1296137,109,549172,944.44023,92689383,2889,5,3,1
astar_chpot,25,81505729,189837356,996613,968404,1073281,154,812023,1039.097436,103511618,3102,13,3,1
astar_chpot,0,81505729,189837356,2,1,1,0,1,0.457938,0,1,0,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,1.3678919999999999,356850,2,0,0,0
astar_chpot,2,81505729,189837356,7,4,6,0,4,114.987445,958158,4,0,0,0
astar_chpot,3,81505729,189837356,13,7,12,0,7,0.29590999999999995,1022094,7,0,0,0
astar_chpot,4,81505729,189837356,14,7,13,0,7,0.32394500000000004,1069326,7,0,0,0
astar_chpot,5,81505729,189837356,28,16,28,0,16,0.29130900000000004,1111897,16,0,0,0
astar_chpot,6,81505729,189837356,40,22,40,0,22,0.321444,1158534,22,0,0,0
astar_chpot,7,81505729,189837356,47,27,48,0,27,0.31157999999999997,1219249,27,0,0,0
astar_chpot,8,81505729,189837356,62,35,63,0,35,0.46917600000000004,1273753,35,0,0,0
astar_chpot,9,81505729,189837356,58,32,59,0,32,0.587835,1331821,32,0,0,0
astar_chpot,10,81505729,189837356,116,57,118,0,57,0.628376,1529137,57,0,0,0
astar_chpot,11,81505729,189837356,187,93,188,0,93,0.417081,2050213,93,0,0,0
astar_chpot,12,81505729,189837356,177,95,178,0,95,0.815404,2663722,95,0,0,0
astar_chpot,13,81505729,189837356,259,138,261,0,138,0.452812,3392532,138,0,0,0
astar_chpot,14,81505729,189837356,381,189,384,0,189,0.5290959999999999,4272853,189,0,0,0
astar_chpot,15,81505729,189837356,721,393,728,0,393,0.731747,5237571,393,0,0,0
astar_chpot,16,81505729,189837356,494,262,500,0,262,0.874868,6763572,262,0,0,0
astar_chpot,17,81505729,189837356,597,327,603,0,327,0.948845,9007690,327,0,0,0
astar_chpot,18,81505729,189837356,1564,861,1582,0,861,2.090826,10949058,861,0,0,0
astar_chpot,19,81505729,189837356,1437,792,1461,0,792,1.177074,14587336,792,0,0,0
astar_chpot,20,81505729,189837356,739685,739685,832207,0,739685,517.384953,NaN,NaN,NaN,NaN,NaN
astar_chpot,21,81505729,189837356,739685,739685,831466,0,739685,621.000516,NaN,NaN,NaN,NaN,NaN
astar_chpot,22,81505729,189837356,739685,739685,831637,0,739685,613.972993,NaN,NaN,NaN,NaN,NaN
astar_chpot,23,81505729,189837356,739685,739685,832580,0,739685,613.739478,NaN,NaN,NaN,NaN,NaN
astar_chpot,24,81505729,189837356,739685,739685,833212,0,739685,615.88189,NaN,NaN,NaN,NaN,NaN
astar_chpot,25,81505729,189837356,739685,739685,832640,0,739685,614.116079,NaN,NaN,NaN,NaN,NaN
astar_chpot,0,81505729,189837356,4,1,3,0,1,0.589529,0,1,0,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,0.16357899999999997,1008,2,0,0,0
astar_chpot,2,81505729,189837356,4,2,3,0,2,0.306398,21024,2,0,0,0
astar_chpot,3,81505729,189837356,6,3,5,0,3,0.16772499999999999,76500,3,0,0,0
astar_chpot,4,81505729,189837356,15,8,14,0,8,0.524508,202284,8,0,0,0
astar_chpot,5,81505729,189837356,19,10,18,0,10,0.178652,429444,10,0,0,0
astar_chpot,6,81505729,189837356,29,16,28,0,16,0.606975,551051,16,0,0,0
astar_chpot,7,81505729,189837356,35,18,34,0,18,0.33150399999999997,846650,18,0,0,0
astar_chpot,8,81505729,189837356,49,27,48,0,27,0.480124,1184077,27,0,0,0
astar_chpot,9,81505729,189837356,73,40,72,0,40,1.28959,1398839,40,0,0,0
astar_chpot,10,81505729,189837356,121,66,121,0,66,0.278294,1821467,66,0,0,0
astar_chpot,11,81505729,189837356,124,65,123,0,65,0.259053,2143000,65,0,0,0
astar_chpot,12,81505729,189837356,198,109,198,0,109,0.437359,2630792,109,0,0,0
astar_chpot,13,81505729,189837356,314,169,316,0,169,1.0533890000000001,3433414,169,0,0,0
astar_chpot,14,81505729,189837356,500,266,504,0,266,0.613293,4228969,266,0,0,0
astar_chpot,15,81505729,189837356,523,293,528,0,293,0.651158,5261320,293,0,0,0
astar_chpot,16,81505729,189837356,687,425,694,0,425,0.7225699999999999,6213680,425,0,0,0
astar_chpot,17,81505729,189837356,423,240,432,0,240,1.0148220000000001,7022055,240,0,0,0
astar_chpot,18,81505729,189837356,954,613,961,0,613,0.746308,8932229,613,0,0,0
astar_chpot,19,81505729,189837356,1202,855,1213,0,855,1.266528,11411521,855,0,0,0
astar_chpot,20,81505729,189837356,1439,844,1454,0,844,1.399058,16096952,844,0,0,0
astar_chpot,21,81505729,189837356,18305,15944,19617,3,15723,12.558461,23597535,1286,1,1,0
astar_chpot,22,81505729,189837356,18509,16134,19819,3,15913,14.183489,27806414,1476,1,1,0
astar_chpot,23,81505729,189837356,876500,1253283,1358910,80,556728,882.856392,83461673,2768,9,2,1
astar_chpot,24,81505729,189837356,778659,1350837,1514302,74,340737,1219.725362,83565326,2205,3,2,1
astar_chpot,25,81505729,189837356,620383,754737,844724,55,348812,704.6337580000001,98147487,2774,5,3,1
astar_chpot,0,81505729,189837356,4,1,3,0,1,0.121788,0,1,0,0,0
astar_chpot,1,81505729,189837356,6,2,5,0,2,0.08598399999999999,1728,2,0,0,0
astar_chpot,2,81505729,189837356,5,2,4,0,2,0.12365299999999999,3480,2,0,0,0
astar_chpot,3,81505729,189837356,9,4,8,0,4,0.087876,10008,4,0,0,0
astar_chpot,4,81505729,189837356,14,7,13,0,7,0.570614,13680,7,0,0,0
astar_chpot,5,81505729,189837356,14,5,13,0,5,0.106445,24984,5,0,0,0
astar_chpot,6,81505729,189837356,23,12,23,0,12,0.09964100000000001,36163,12,0,0,0
astar_chpot,7,81505729,189837356,32,17,31,0,17,0.173656,51471,17,0,0,0
astar_chpot,8,81505729,189837356,30,13,29,0,13,0.162129,74520,13,0,0,0
astar_chpot,9,81505729,189837356,46,26,45,0,26,0.175071,100312,26,0,0,0
astar_chpot,10,81505729,189837356,70,34,70,0,34,0.201287,142260,34,0,0,0
astar_chpot,11,81505729,189837356,98,56,98,0,56,0.23292500000000002,228187,56,0,0,0
astar_chpot,12,81505729,189837356,148,84,149,0,84,0.259451,376669,84,0,0,0
astar_chpot,13,81505729,189837356,244,144,250,0,144,0.5808639999999999,620513,144,0,0,0
astar_chpot,14,81505729,189837356,247,143,248,0,143,0.347304,887401,143,0,0,0
astar_chpot,15,81505729,189837356,320,181,320,0,181,0.52756,1199850,181,0,0,0
astar_chpot,16,81505729,189837356,334,216,336,0,216,0.384522,1520773,216,0,0,0
astar_chpot,17,81505729,189837356,798,481,808,0,481,0.772674,2090839,481,0,0,0
astar_chpot,18,81505729,189837356,1186,817,1199,0,817,1.901287,5670571,817,0,0,0
astar_chpot,19,81505729,189837356,1696,1105,1724,0,1105,1.498238,9800730,1105,0,0,0
astar_chpot,20,81505729,189837356,2400,1647,2423,0,1647,1.856203,15181638,1647,0,0,0
astar_chpot,21,81505729,189837356,267506,264144,295087,67,263852,198.863861,26269382,1963,1,1,0
astar_chpot,22,81505729,189837356,84126,78831,92129,3,78659,79.749525,28130598,1852,1,1,0
astar_chpot,23,81505729,189837356,364378,450788,508126,301,208592,307.822287,76004593,2411,3,2,1
astar_chpot,24,81505729,189837356,413239,591018,667892,123,286740,419.110784,83379234,3341,2,2,1
astar_chpot,25,81505729,189837356,395096,441889,496913,111,302293,369.985458,98520066,4302,3,3,1
astar_bidir_chpot,0,81505729,189837356,3,1,2,0,1,8.574296,0,1,0,0,0
astar_bidir_chpot,1,81505729,189837356,4,2,3,0,2,1.9722910000000002,2160,2,0,0,0
astar_bidir_chpot,2,81505729,189837356,5,2,4,0,2,2.143655,126288,2,0,0,0
astar_bidir_chpot,3,81505729,189837356,8,5,7,0,5,1.661617,151200,5,0,0,0
astar_bidir_chpot,4,81505729,189837356,12,6,11,0,6,2.832682,439200,6,0,0,0
astar_bidir_chpot,5,81505729,189837356,13,7,12,0,7,5.040505,697950,7,0,0,0
astar_bidir_chpot,6,81505729,189837356,22,10,21,0,10,3.329288,843588,10,0,0,0
