algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
astar_bidir_chpot,7,81505729,189837356,39,20,38,0,20,1.9895369999999999,402228,20,0,0
astar_bidir_chpot,8,81505729,189837356,40,20,39,0,20,2.3350910000000002,476694,20,0,0
astar_bidir_chpot,9,81505729,189837356,78,40,77,0,40,3.255348,623862,40,0,0
astar_bidir_chpot,10,81505729,189837356,84,41,83,0,41,3.185122,765864,41,0,0
astar_bidir_chpot,11,81505729,189837356,118,62,117,0,62,4.402901,880399,62,0,0
astar_bidir_chpot,12,81505729,189837356,68,35,68,0,35,3.205202,1118376,35,0,0
astar_bidir_chpot,13,81505729,189837356,133,70,135,0,70,9.565061,1903308,70,0,0
astar_bidir_chpot,14,81505729,189837356,203,111,203,0,111,6.946328,3069270,111,0,0
astar_bidir_chpot,15,81505729,189837356,466,250,473,0,250,29.939207,4107010,250,0,0
astar_bidir_chpot,16,81505729,189837356,460,241,465,0,241,13.280949,5361919,241,0,0
astar_bidir_chpot,17,81505729,189837356,559,312,568,0,312,12.73097,6797608,312,0,0
astar_bidir_chpot,18,81505729,189837356,1183,654,1194,0,654,31.804785000000003,8280347,654,0,0
astar_bidir_chpot,19,81505729,189837356,1121,634,1145,0,634,24.381003,12483044,634,0,0
astar_bidir_chpot,20,81505729,189837356,1380810,1383455,1551298,30,1110824,537781.54121,NaN,NaN,NaN,NaN
astar_bidir_chpot,21,81505729,189837356,1378970,1383455,1550947,30,1110824,731776.537656,NaN,NaN,NaN,NaN
astar_bidir_chpot,22,81505729,189837356,1379274,1383455,1552143,30,1110824,493667.81610399997,NaN,NaN,NaN,NaN
astar_bidir_chpot,23,81505729,189837356,1380795,1383455,1552247,30,1110824,568482.633372,NaN,NaN,NaN,NaN
astar_bidir_chpot,24,81505729,189837356,1379171,1383455,1551366,30,1110824,745709.4055600001,NaN,NaN,NaN,NaN
astar_bidir_chpot,25,81505729,189837356,1379700,1383455,1551844,30,1110824,533053.504298,NaN,NaN,NaN,NaN
astar_bidir_chpot,0,81505729,189837356,4,1,3,0,1,2.410392,0,1,0,0
astar_bidir_chpot,1,81505729,189837356,4,2,3,0,2,1.8471819999999999,27900,2,0,0
astar_bidir_chpot,2,81505729,189837356,7,3,6,0,3,1.836061,33966,3,0,0
astar_bidir_chpot,3,81505729,189837356,11,5,10,0,5,1.822074,39582,5,0,0
astar_bidir_chpot,4,81505729,189837356,14,8,13,0,8,1.833414,70308,8,0,0
astar_bidir_chpot,5,81505729,189837356,20,10,19,0,10,1.852378,208062,10,0,0
astar_bidir_chpot,6,81505729,189837356,29,14,28,0,14,1.862668,312948,14,0,0
astar_bidir_chpot,7,81505729,189837356,39,20,38,0,20,2.120331,402228,20,0,0
astar_bidir_chpot,8,81505729,189837356,40,20,39,0,20,1.9920939999999998,476694,20,0,0
astar_bidir_chpot,9,81505729,189837356,78,40,77,0,40,2.978892,623862,40,0,0
astar_bidir_chpot,10,81505729,189837356,84,41,83,0,41,2.789797,765864,41,0,0
astar_bidir_chpot,11,81505729,189837356,118,62,117,0,62,2.16354,880399,62,0,0
astar_bidir_chpot,12,81505729,189837356,68,35,68,0,35,2.4947440000000003,1118376,35,0,0
astar_bidir_chpot,13,81505729,189837356,133,70,135,0,70,3.278141,1903308,70,0,0
